日数	手術名称	レセ電CD
5	リンパ節群郭清術（骨盤）　　　　　　　　	150322810
5	リンパ節群郭清術（後腹膜）　　　　　　　	150156910
5	ヘルニア手術（腹壁瘢痕ヘルニア）　　　　	150158410
5	ヘルニア手術（内ヘルニア）　　　　　　　	150159410
5	限局性腹腔膿瘍手術（その他）　　　　　　	150160410
5	急性汎発性腹膜炎手術　　　　　　　　　　	150160810
5	大網切除術　　　　　　　　　　　　　　　	150161410
5	大網、腸間膜、後腹膜腫瘍摘出術（腸切除を	150161510
5	後腹膜悪性腫瘍手術　　　　　　　　　　　	150162310
5	噴門側胃切除術（悪性腫瘍切除術）　　　　	150337310
5	胃切除術（悪性腫瘍手術）　　　　　　　　	150168010
5	胃全摘術（悪性腫瘍手術）　　　　　　　　	150168110
5	胆嚢摘出術　　　　　　　　　　　　　　　	150172410
5	胆嚢悪性腫瘍手術（胆嚢に限局するもの（リ	150169950
5	胆嚢悪性腫瘍手術（肝切除（亜区域切除以上	150362210
5	胆管形成手術（胆管切除術を含む）　　　　	150173110
5	総胆管胃（腸）吻合術　　　　　　　　　　	150173910
5	肝切除術（部分切除）　　　　　　　　　　	150362610
5	肝切除術（亜区域切除）　　　　　　　　　	150362710
5	肝切除術（外側区域切除）　　　　　　　　	150362810
5	肝切除術（１区域（外側区域切除を除く））	150362910
5	肝切除術（２区域切除）　　　　　　　　　	150363010
5	肝切除術（２区域切除以上で血行再建）　　	150363210
5	膵体尾部腫瘍切除術（膵尾部切除術）　同時	150178110
5	膵体尾部腫瘍切除術（リンパ節・神経叢郭清	150178210
5	膵頭部腫瘍切除術（膵頭十二指腸切除術の場	150178410
5	膵頭部腫瘍切除術（血行再建を伴う腫瘍切除	150297210
5	膵頭部腫瘍切除術（リンパ節・神経叢郭清等	150296910
5	膵全摘術　　　　　　　　　　　　　　　　	150178710
5	脾摘出術　　　　　　　　　　　　　　　　	150179810
5	破裂腸管縫合術　　　　　　　　　　　　　	150180010
5	腸管癒着症手術　　　　　　　　　　　　　	150180210
5	腸重績症整復術（観血的）　　　　　　　　	150181110
5	小腸切除術（悪性腫瘍手術以外の切除術）　	150181210
5	虫垂切除術（虫垂周囲膿瘍を伴わない）　　	150181610
5	虫垂切除術（虫垂周囲膿瘍を伴う）　　　　	150337510
5	結腸切除術（小範囲切除）　　　　　　　　	150181710
5	小腸切除術（悪性腫瘍手術）　　　　　　　	150297310
5	結腸切除術（全切除、亜全切除又は悪性腫瘍	150181910
5	腸瘻造設術　　　　　　　　　　　　　　　	150184310
5	人工肛門造設術　　　　　　　　　　　　　	150184510
5	人工肛門閉鎖術（腸管切除を伴う）　　　　	150185710
5	副腎腫瘍摘出術（髄質腫瘍）（褐色細胞腫）	150245610
5	腎（尿管）悪性腫瘍手術　　　　　　　　　	150195210
5	回腸（結腸）導管造設術　　　　　　　　　	150264310
5	精索静脈瘤手術　　　　　　　　　　　　　	150208410
5	精索捻転手術（対側の精巣固定術を伴う）　	150297710
5	子宮卵管留血腫手術（開腹による）　　　　	150220450
5	腟断端挙上術（腹式）　　　　　　　　　　	150326910
5	子宮筋腫摘出（核出）術（腹式）　　　　　	150216910
5	子宮全摘術　　　　　　　　　　　　　　　	150217510
5	子宮悪性腫瘍手術　　　　　　　　　　　　	150217710
5	卵管結紮術（膣式を含む）（両側）開腹によ	150219850
5	子宮附属器腫瘍摘出術（開腹による）　　　	150220010
5	子宮附属器悪性腫瘍手術（両側）　　　　　	150220710
5	骨折観血的手術（上腕骨）　　　　　　　　	150019110
5	骨折観血的手術（大腿骨）　　　　　　　　	150019210
5	骨折観血的手術（下腿骨）　　　　　　　　	150019410
5	骨折観血的手術（前腕骨）　　　　　　　　	150019310
5	観血的整復固定術（インプラント周囲骨折）	150352210
5	骨内異物（挿入物）除去術（足）　　　　　	150021310
5	腐骨摘出術（大腿）　　　　　　　　　　　	150022710
5	骨全摘術（足その他）　　　　　　　　　　	150024210
5	中足骨摘除術（２本以上）　　　　　　　　	150024650
5	骨腫瘍切除術（上腕）　　　　　　　　　　	150024810
5	骨腫瘍切除術（大腿）　　　　　　　　　　	150024910
5	骨腫瘍切除術（下腿）　　　　　　　　　　	150025110
5	骨悪性腫瘍手術（上腕）　　　　　　　　　	150026610
5	骨悪性腫瘍手術（大腿）　　　　　　　　　	150026710
5	骨切り術（下腿）　　　　　　　　　　　　	150027910
5	大腿骨頭回転骨切り術　　　　　　　　　　	150308810
5	大腿骨近位部（転子間を含む。）骨切り術　	150308910
5	骨移植術（軟骨移植術含）自家培養軟骨移植	150369450
5	骨移植術（軟骨移植術を含む）同種骨移植（	150383810
5	関節鏡下自家骨軟骨移植術　　　　　　　　	150353110
5	骨移植術（軟骨移植術を含む）（自家骨移植	150295010
5	関節内骨折観血的手術（股）　　　　　　　	150042710
5	靱帯断裂形成手術（膝側副靱帯）　　　　　	150313810
5	人工骨頭挿入術（股）　　　　　　　　　　	150049510
5	人工関節置換術（肩）　　　　　　　　　　	150050310
5	人工関節置換術（股）　　　　　　　　　　	150050410
5	人工関節置換術（膝）　　　　　　　　　　	150050510
5	人工関節再置換（股）　　　　　　　　　　	150256010
5	人工関節再置換（膝）　　　　　　　　　　	150256110
5	人工関節置換術（肘）　　　　　　　　　　	150050710
5	四肢切断術（大腿）　　　　　　　　　　　	150051610
5	四肢関節離断術（股）　　　　　　　　　　	150052210
5	断端形成術（骨形成を要する）その他　　　	150053810
5	脊椎固定術、椎弓切除術、椎弓形成術（椎弓	150355010
5	脊椎固定術、椎弓切除術、椎弓形成術（椎弓	150355110
5	黄色靱帯骨化症手術　　　　　　　　　　　	150062910
5	椎間板摘出術（後方摘出術）　　　　　　　	150063210
5	内視鏡下椎間板摘出（切除）術（後方摘出）	150314410
5	臼蓋形成手術　　　　　　　　　　　　　　	150064810
5	脊椎固定術（前方椎体固定）　　　　　　　	150282510
5	脊椎側彎症手術（固定術）　　　　　　　　	150282750
5	脊椎固定術（後方固定）　　　　　　　　　	150282610
5	脊椎固定術（後方固定）　　　　　　　　　	15282610
5	脊椎固定術（後側方固定）　　　　　　　　	150282610
5	脊椎固定術（後方椎体固定）　　　　　　　	150314610
5	頭蓋骨形成手術（骨移動を伴う）　　　　　	150335810
5	脊髄腫瘍摘出術（髄外）　　　　　　　　　	150073210
5	脊髄腫瘍摘出術（髄内）　　　　　　　　　	150073310
5	眼窩骨折観血的手術（眼窩骨ブローアウト　	150081310
5	アブミ骨摘出術　　　　　　　　　　　　　	150096210
5	喉頭形成手術（人工形成材料挿置術、軟骨片	150109110
5	下顎骨折観血的手術（片側）　　　　　　　	150114710
5	下顎関節突起骨折観血的手術（片側）　　　	150345610
5	顎骨腫瘍摘出術（長径３以上）　　　　　	150115510
5	下顎骨部分切除術　　　　　　　　　　　　	150115610
5	下顎骨悪性腫瘍手術（切除）　　　　　　　	150115810
5	下顎骨悪性腫瘍手術（切断）　　　　　　　	150115910
5	上顎骨切除術　　　　　　　　　　　　　　	150116110
5	上顎骨悪性腫瘍手術（切除）　　　　　　　	150116410
5	上顎骨悪性腫瘍手術（全摘）　　　　　　　	150116510
3	漏斗胸手術（胸腔鏡）　　　　　　　　　　	150336310
3	胸腔鏡下試験開胸術　　　　　　　　　　　	150356910
3	胸腔内血腫除去術　　　　　　　　　　　　	150125910
3	胸腔鏡下膿胸腔掻爬術　　　　　　　　　　	150317010
3	胸腔鏡下縦隔切開術　　　　　　　　　　　	150357310
3	胸腔鏡下拡大胸腺摘出術　　　　　　　　　	150374210
3	胸腔鏡下縦隔悪性腫瘍手術　　　　　　　　	150374310
3	胸腔鏡下肺切除術（肺嚢胞手術）楔状部分切	150266610
3	胸腔鏡下良性縦隔腫瘍手術　　　　　　　　	150270750
3	胸腔鏡下肺縫縮術　　　　　　　　　　　　	150298750
3	胸腔鏡下肺切除術（その他）　　　　　　　	150357710
3	胸腔鏡下肺悪性腫瘍手術（部分切除）　　　	150358610
3	胸腔鏡下肺悪性腫瘍手術（区域切除）　　　	150358710
3	胸腔鏡下肺悪性腫瘍手術（肺葉切除又は１肺	150358810
3	胸腔鏡下食道悪性腫瘍手術（頸部、胸部、腹	150374710
3	腹腔鏡下食道裂孔ヘルニア手術　　　　　　	150275110
3	胸腔鏡下心膜開窓術　　　　　　　　　　　	150359210
3	連続携行式腹膜灌流用カテーテル腹腔内留置	150322910
3	腹腔鏡下ヘルニア手術（腹壁瘢痕ヘルニア）	150361210
3	腹腔鏡下ヘルニア手術（半月状線ヘルニア、	150388010
3	腹腔鏡下鼠径ヘルニア手術（両側）　　　　	150263610
3	腹腔鏡下大網、腸間膜、後腹膜腫瘍摘出術　	150361710
3	腹腔鏡下胃局所切除術　　　　　　　　　　	150377710
3	腹腔鏡下胃局所切除術（内視鏡処置を併施）	150377610
3	腹腔鏡下胃切除術（悪性腫瘍手術）　　　　	150323510
3	腹腔鏡下噴門側胃切除術（悪性腫瘍切除術）	150377910
3	腹腔鏡下胃全摘術（悪性腫瘍手術）　　　　	150323710
3	腹腔鏡下幽門形成術　　　　　　　　　　　	150323810
3	腹腔鏡下噴門形成術　　　　　　　　　　　	150276710
3	腹腔鏡下胆嚢摘出術　　　　　　　　　　　	150254110
3	腹腔鏡下肝嚢胞切開術　　　　　　　　　　	150277710
3	腹腔鏡下肝切除術（部分切除）　　　　　　	150348010
3	腹腔鏡下膵体尾部腫瘍切除術（脾温存）　　	150389310
3	腹腔鏡下脾摘出術　　　　　　　　　　　　	150271850
3	腹腔鏡下腸管癒着剥離術　　　　　　　　　	150271550
3	腹腔鏡下小腸切除術（悪性腫瘍手術以外の切	150271950
3	腹腔鏡下小腸切除術（悪性腫瘍手術）　　　	150363710
3	腹腔鏡下虫垂切除術（虫垂周囲膿瘍を伴うも	150272050
3	腹腔鏡下虫垂切除術（虫垂周囲膿瘍を伴わな	150337610
3	腹腔鏡下結腸切除術（小範囲切除、結腸半側	150277810
3	腹腔鏡下結腸悪性腫瘍切除術　　　　　　　	150324910
3	腹腔鏡下結腸切除術（全切除、亜全切除）　	150337710
3	腹腔鏡下人工肛門造設術　　　　　　　　　	150389610
3	腹腔鏡下直腸切除・切断術（切除術）　　　	150325210
3	腹腔鏡下直腸切除・切断術（低位前方切除術	150337810
3	腹腔鏡下直腸切除・切断術（切断術）　　　	150337910
3	腹腔鏡下直腸脱手術　　　　　　　　　　　	150364610
3	腹腔鏡下副腎摘出術　　　　　　　　　　　	150279210
3	腹腔鏡下副腎髄質腫瘍摘出術（褐色細胞腫）	150378910
3	腹腔鏡下腎（尿管）悪性腫瘍手術　　　　　	150326010
3	腹腔鏡下腎悪性腫瘍手術（内視鏡手術用支援	150389910
3	腹腔鏡下腎盂形成手術　　　　　　　　　　	150326110
3	腹腔鏡下膀胱悪性腫瘍手術　　　　　　　　	150365210
3	腹腔鏡下内精巣静脈結紮術　　　　　　　　	150278310
3	腹腔鏡下腹腔内停留精巣陰嚢内固定術　　　	150326410
3	腹腔鏡下前立腺悪性腫瘍手術（内視鏡手術用	150390310
3	腹腔鏡下子宮内膜症病巣除去術　　　　　　	150264510
3	腹腔鏡下子宮筋腫摘出（核出）術　　　　　	150294110
3	腹腔鏡下膣式子宮全摘術　　　　　　　　　	150272250
3	子宮附属器癒着剥離術（両側）（腹腔鏡によ	150264610
3	卵巣部分切除術（腹腔鏡による）　　　　　	150264710
3	子宮附属器腫瘍摘出術（腹腔鏡による）　　	150270010
3	子宮外妊娠手術（腹腔鏡によるもの）　　　	150264910
3	内視鏡手術用支援機器加算ダミー　　　　　	
2	脳血管内手術（１箇所）　　　　　　　　　	150254910
2	脳血管内手術（２箇所以上）　　　　　　　	150344410
2	経皮的脳血管形成術　　　　　　　　　　　	150273510
2	経皮的頸動脈ステント留置術　　　　　　　	150337110
2	血管塞栓術（頭部、胸腔、腹腔内血管）止血	150360610
2	血管塞栓術（頭部、胸腔、腹腔内血管）その	150360710
2	血管塞栓術（頭部、胸腔、腹腔内血管等）選	150376810
2	経皮的冠動脈形成術（高速回転式経皮経管ア	150284310
2	経皮的冠動脈形成術（その他）　　　　　　	150375110
2	経皮的冠動脈ステント留置術（急性心筋梗塞	150375210
2	経皮的冠動脈ステント留置術（不安定狭心症	150375310
2	経皮的冠動脈ステント留置術（その他）　　	150375410
2	経皮的シャント拡張術・血栓除去術　　　　	150360810
2	両心室ペースメーカー移植術　　　　　　　	150303210
2	ペースメーカー移植術（経静脈電極）　　　	150140210
2	体外ペースメーキング術　　　　　　　　　	150267310
2	植込型除細動器移植術（経静脈リード）　　	150387410
2	両室ペーシング機能付き植込型除細動器移植	150336910
2	経皮的カテーテル心筋焼灼術（心房中隔穿刺	150346710
2	経皮的カテーテル心筋焼灼術（その他）　　	150262810
2	内視鏡的食道粘膜切除術（早期悪性腫瘍粘膜	150336810
2	内視鏡的胃、十二指腸ステント留置術　　　	150347610
2	内視鏡的胃、十二指腸ポリープ・粘膜切除術	150323010
2	内視鏡的胃、十二指腸狭窄拡張術　　　　　	150361810
2	内視鏡的経鼻胆管ドレナージ術（ＥＮＢＤ）	150362310
2	内視鏡的胆道ステント留置術　　　　　　　	150254410
2	内視鏡的胆道結石除去術（その他）　　　　	150362510
2	内視鏡的胆道拡張術　　　　　　　　　　　	150175310
2	内視鏡的乳頭切開術（乳頭括約筋切開のみの	150175410
2	内視鏡的乳頭切開術（胆道砕石術を伴うもの	150296710
2	経皮経肝胆管ステント挿入術　　　　　　　	150263810
2	肝悪性腫瘍ラジオ波焼灼療法（２以内）他	150378510
2	肝悪性腫瘍ラジオ波焼灼療法（２超）他　	150378710
2	肝悪性腫瘍ラジオ波焼灼療法（２以内）腹	150378410
2	膵結石手術（経十二指腸乳頭によるもの）　	150177910
2	内視鏡的膵管ステント留置術　　　　　　　	150363610
2	早期悪性腫瘍大腸粘膜下層剥離術　　　　　	150363910
0	胸腔・腹腔シャントバルブ設置術　　　　　	150260550
0	創傷処理　５未満　　　　　　　　　　　	150001010
0	創傷処理　５～１０　　　　　　　　　　	150001110
0	創傷処理　１０以上　　　　　　　　　　	150284010
0	創傷処理　筋肉臓器５～１０　　　　　　	150001310
0	創傷処理　筋肉、臓器に達するもの　長径１	150307210
0	創傷処理　筋肉臓器５未満　　　　　　　	150001250
0	皮膚切開術（長径１０未満）　　　　　　	150001810
0	皮膚切開術（長径２０以上）　　　　　　	150002010
0	デブリードマン（１００以上３，０００	150002310
0	皮膚，皮下，粘膜下血管腫摘出術（露出部）	150002510
0	皮膚，皮下腫瘍摘出術（露出部）（長径２	150003110
0	皮膚，皮下腫瘍摘出術（露出部）（長径２	150003210
0	皮膚，皮下腫瘍摘出術（露出部）（長径４	150272410
0	皮膚，皮下腫瘍摘出術（露出部以外）（長径	150003510
0	皮膚，皮下腫瘍摘出術（露出部以外）（長径	150003610
0	皮膚、皮下腫瘍摘出術（露出部以外）（長径	150272510
0	皮膚、皮下腫瘍摘出術（露出部以外）（長径	150383510
0	皮膚悪性腫瘍切除術（単純切除）　　　　　	150260910
0	経皮的放射線治療用金属マーカー留置術　　	150351910
0	瘢痕拘縮形成手術（顔面）　　　　　　　　	150004810
0	瘢痕拘縮形成手術（その他）　　　　　　　	150004910
0	顔面神経麻痺形成手術（静的なもの）　　　	150005010
0	遊離皮弁術（顕微鏡下血管柄付きのもの）乳	150371710
0	遊離皮弁術（顕微鏡下血管柄付きのもの）そ	150371810
0	分層植皮術（２５未満）　　　　　　　　	150006410
0	分層植皮術（２５以上１００未満）　　	150006510
0	分層植皮術（１００以上２００未満）　	150006610
0	全層植皮術（２５未満）　　　　　　　　	150333710
0	全層植皮術（２５以上１００未満）　　	150333810
0	全層植皮術（１００以上２００未満）　	150333910
0	全層植皮術（２００以上）　　　　　　　	150334010
0	皮弁作成術（２５未満）　　　　　　　　	150007810
0	皮弁作成術（２５以上１００未満）　　	150007910
0	皮弁作成術（１００以上）　　　　　　　	150008010
0	遷延皮弁術（１００以上）　　　　　　　	150008010
0	動脈（皮）弁術　　　　　　　　　　　　　	150008810
0	筋（皮）弁術　　　　　　　　　　　　　　	150009010
0	複合組織移植術　　　　　　　　　　　　　	150009110
0	自家遊離複合組織移植術（顕微鏡下血管柄付	150009210
0	粘膜移植術（４未満）　　　　　　　　　	150009310
0	組織拡張器による再建手術（一連につき）乳	150371910
0	筋炎手術（殿筋）　　　　　　　　　　　　	150010010
0	腱鞘切開術（関節鏡下によるものを含む）　	150288510
0	腱滑膜切除術　　　　　　　　　　　　　　	150300110
0	四肢・躯幹軟部腫瘍摘出術（肩）　　　　　	150010810
0	四肢・躯幹軟部腫瘍摘出術（上腕）　　　　	150010910
0	四肢・躯幹軟部腫瘍摘出術（前腕）　　　　	150011010
0	四肢・躯幹軟部腫瘍摘出術（大腿）　　　　	150011110
0	四肢・躯幹軟部腫瘍摘出術（下腿）　　　　	150011210
0	四肢・躯幹軟部腫瘍摘出術（手）　　　　　	150011310
0	四肢・躯幹軟部腫瘍摘出術（足）　　　　　	150011410
0	四肢・躯幹軟部悪性腫瘍手術（上腕）　　　	150011610
0	四肢・躯幹軟部悪性腫瘍手術（前腕）　　　	150011710
0	四肢・躯幹軟部悪性腫瘍手術（大腿）　　　	150011810
0	四肢・躯幹軟部腫瘍摘出術（躯幹）　　　　	150308610
0	四肢・躯幹軟部悪性腫瘍手術（躯幹）　　　	150308710
0	アキレス腱断裂手術　　　　　　　　　　　	150280050
0	筋膜移植術（その他）　　　　　　　　　　	150272910
0	腱延長術　　　　　　　　　　　　　　　　	150289010
0	腱移行術（指（手、足））　　　　　　　　	150273110
0	難治性骨折超音波治療法（一連につき）　　	150284110
0	超音波骨折治療法（一連につき）　　　　　	150334110
0	骨掻爬術（下腿）　　　　　　　　　　　　	150014210
0	骨折非観血的整復術（前腕）　　　　　　　	150016810
0	骨折観血的手術（足）　　　　　　　　　　	150019810
0	骨折観血的手術（指（手、足））　　　　　	150261110
0	創外固定器加算　　　　　　　　　　　　　	150266970
0	骨折経皮的鋼線刺入固定術（大腿）　　　　	150018310
0	骨折経皮的鋼線刺入固定術（指（手、足））	150261010
0	骨内異物（挿入物）除去術（上腕）　　　　	150020610
0	骨内異物（挿入物）除去術（大腿）　　　　	150020710
0	骨内異物（挿入物）除去術（前腕）　　　　	150020810
0	骨内異物（挿入物）除去術（下腿）　　　　	150020910
0	骨内異物（挿入物）除去術（鎖骨）　　　　	150021010
0	骨内異物（挿入物）除去術（その他）　　　	150289310
5	腐骨摘出術（足その他）　　　　　　　　　	150023310
0	骨腫瘍切除術（手）　　　　　　　　　　　	150025410
0	骨腫瘍切除術（足）　　　　　　　　　　　	150025510
0	骨腫瘍切除術（指（手、足））　　　　　　	150261410
0	偽関節手術（大腿骨）　　　　　　　　　　	150028810
0	偽関節手術（下腿骨）　　　　　　　　　　	150029010
0	骨長調整手術（骨延長術）（指（手、足）以	150031610
0	鋼線等による直達牽引（初日）　　　　　　	150243010
0	化膿性関節炎掻爬術（肩）　　　　　　　　	150052850
0	化膿性関節炎掻爬術（股）　　　　　　　　	150052950
0	化膿性関節炎掻爬術（膝）　　　　　　　　	150053050
0	関節脱臼非観血的整復術（股）　　　　　　	150033910
0	関節鏡下関節内異物（挿入物を含む）除去術	150309310
0	関節滑膜切除術（股）　　　　　　　　　　	150037210
0	関節鏡下関節滑膜切除術（肩）　　　　　　	150310210
0	関節鏡下関節滑膜切除術（股）　　　　　　	150310310
0	関節鏡下関節滑膜切除術（膝）　　　　　　	150310410
0	関節鏡下関節滑膜切除術（肘）　　　　　　	150310610
0	関節鏡下関節鼠摘出手術（膝）　　　　　　	150312410
0	関節鏡下半月板切除術　　　　　　　　　　	150313110
0	関節鏡下半月板縫合術　　　　　　　　　　	150313210
0	靱帯断裂縫合術（その他の靭帯）　　　　　	150290010
0	観血的関節授動術（肩）　　　　　　　　　	150045210
0	観血的関節授動術（膝）　　　　　　　　　	150045410
0	観血的関節固定術（足）　　　　　　　　　	150047610
0	観血的関節固定術（指（手、足））　　　　	150047810
0	関節鏡下靱帯断裂形成手術（十字靱帯）　　	150313710
0	靱帯断裂形成手術（その他の靱帯）　　　　	150290210
0	関節鏡下靱帯断裂形成手術（内側膝蓋大腿靱	150354110
0	内反足手術　　　　　　　　　　　　　　　	150049250
0	肩腱板断裂手術（簡単）　　　　　　　　　	150343710
0	関節鏡下肩関節唇形成術（腱板断裂を伴う）	150384210
0	関節鏡下肩関節唇形成術（腱板断裂を伴わな	150384310
0	関節鏡下肩腱板断裂手術（簡単）　　　　　	150343810
5	関節鏡下股関節唇形成術　　　　　　　　　	150384410
0	四肢切断術（下腿）　　　　　　　　　　　	150051710
0	四肢切断術（上腕）　　　　　　　　　　　	150051310
0	四肢関節離断術（指（手、足））　　　　　	150052710
0	断端形成術（骨形成を要する）（指（手、足	150053710
0	陥入爪手術（簡単なもの）　　　　　　　　	150054610
0	陥入爪手術（爪床爪母の形成を伴う複雑なも	150054710
0	手根管開放手術　　　　　　　　　　　　　	150055110
0	関節鏡下手根管開放手術　　　　　　　　　	150314110
0	第一足指外反症矯正手術　　　　　　　　　	150058710
0	脊椎内異物（挿入物）除去術　　　　　　　	150061810
0	脊椎骨（軟骨）組織採取術（試験切除による	150061210
5	経皮的椎体形成術　　　　　　　　　　　　	150355210
0	脊髄誘発電位測定等加算　　　　　　　　　	150380670
0	脊髄誘発電位測定等加算（甲状腺又は副甲状	150380770
0	穿頭脳室ドレナージ術　　　　　　　　　　	150066210
0	減圧開頭術（その他）　　　　　　　　　　	150067410
0	顔面神経減圧手術（乳様突起経由）　　　　	150068710
0	内視鏡下脳内血腫除去術　　　　　　　　　	150372310
0	慢性硬膜下血腫穿孔洗浄術　　　　　　　　	150273410
0	内視鏡下経鼻的腫瘍摘出術（下垂体腫瘍）　	150384610
0	水頭症手術　シャント手術　　　　　　　　	150301710
0	髄液シャント抜去術　　　　　　　　　　　	150071650
2	脳血管内手術（脳血管内ステント）　　　　	150355410
0	経皮的脳血栓回収術　　　　　　　　　　　	150372510
0	髄液漏閉鎖術　　　　　　　　　　　　　　	150072010
0	脊髄ドレナージ術　　　　　　　　　　　　	150244010
0	頭蓋骨形成術（頭蓋骨のみ）　　　　　　　	150072110
0	神経縫合術（その他）　　　　　　　　　　	150072310
0	神経剥離術（その他）　　　　　　　　　　	150073110
0	神経腫切除術（その他）　　　　　　　　　	150073510
0	レックリングハウゼン病偽神経腫切除術（露	150256850
0	レックリングハウゼン病偽神経腫切除術（露	150256950
0	レックリングハウゼン病偽神経腫切除術（露	150280350
0	レックリングハウゼン病偽神経腫切除術（露	150257050
0	レックリングハウゼン病偽神経腫切除術（露	150257150
0	涙点プラグ挿入術、涙点閉鎖術　　　　　　	150284210
0	涙点プラグ挿入術、涙点閉鎖術　　　　　　	150284210
0	涙管チューブ挿入術（涙道内視鏡）　　　　	150355810
0	涙嚢鼻腔吻合術　　　　　　　　　　　　　	150077010
0	涙小管形成手術（右）　　　　　　　　　　	150077210
0	涙小管形成手術（左）　　　　　　　　　　	150077210
0	兎眼矯正術　　　　　　　　　　　　　　　	150078010
0	眼瞼結膜腫瘍手術　　　　　　　　　　　　	150291610
0	眼瞼結膜悪性腫瘍手術　　　　　　　　　　	150078510
0	眼瞼内反症手術（皮膚切開法）　　　　　　	150355910
0	眼瞼下垂症手術（眼瞼挙筋前転法）　　　　	150078810
0	眼瞼下垂症手術（筋膜移植法）　　　　　　	150078910
0	眼瞼下垂症手術（その他）　　　　　　　　	150079010
0	結膜結石除去術（少数のもの（１眼瞼ごと）	150079410
0	翼状片手術（弁移植を移植を要するもの）右	150080210
0	翼状片手術（弁移植を移植を要するもの）左	150080210
0	結膜腫瘍摘出術　　　　　　　　　　　　　	150291710
0	眼窩膿瘍切開術　　　　　　　　　　　　　	150080810
0	眼窩内異物除去術（表在性）　　　　　　　	150081510
0	眼窩内腫瘍摘出術（表在性）　　　　　　　	150082210
0	眼窩内腫瘍摘出術（深在性）　　　　　　　	150082310
0	眼球内容除去術　　　　　　　　　　　　　	150083010
0	眼球摘出術　　　　　　　　　　　　　　　	150083210
0	義眼台包埋術　　　　　　　　　　　　　　	150083710
0	眼球摘除及び組織又は義眼台充填術　　　　	150083910
0	角膜・強膜縫合術　　　　　　　　　　　　	150295510
0	角膜・強膜異物除去術（右）　　　　　　　	150085410
0	角膜移植術　　　　　　　　　　　　　　　	150086210
0	羊膜移植術　　　　　　　　　　　　　　　	150372910
0	緑内障手術（流出路再建術）　　　　　　　	150088410
0	緑内障手術（濾過手術）　　　　　　　　　	150335910
0	緑内障手術（緑内障治療用インプラント挿入	150356010
0	虹彩整復・瞳孔形成術　　　　　　　　　　	150088610
0	前房、虹彩内異物除去術　　　　　　　　　	150089110
0	網膜復位術　　　　　　　　　　　　　　　	150089410
